?번호,k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),"k-단지분류(아파트,주상복합등등)",k-세대타입(분양형태),k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,좌표X,좌표Y,컨소시엄여부,수정필드,기업그룹
2254,A10027969,왕십리텐즈힐1단지(임대),성동구,하왕십리동,아파트,임대,3,333,대림산업,에스에치공사,2015-04-24 0:00,29366,127.0295235,37.56734381,N,기업그룹,DL이앤씨
2255,A10027748,공덕파크자이 아파트,마포구,공덕동,주상복합,분양,4,288,GS건설(주),마포로1구역 제55지구 도시환경정비사업조합,2015-08-28 0:00,58168,126.9479695,37.54487054,N,기업그룹,GS건설
2256,A10027670,상봉듀오트리스,중랑구,상봉동,주상복합,분양,2,264,"포스코, 포스코A&C","한국자산신탁, 아우딘디엔피",2016-01-20 0:00,99839,127.0922043,37.59736204,Y,기업그룹,포스코이앤씨
2257,A15105008,관악파크푸르지오,관악구,봉천동,아파트,분양,7,363,대우건설,까치산공원주택재건축정비사업조합,2014-09-19 0:00,37249,126.9621499,37.48222882,N,기업그룹,대우건설
2258,A10027684,당산브라운스톤아파트,영등포구,당산동4가,아파트,분양,3,162,이수건설,당산제2지역주택조합,2015-11-24 0:00,23393,126.902504,37.52721748,N,,
2259,A10027541,강서쌍용예가아파트,강서구,염창동,아파트,분양,4,152,(주)쌍용건설,응지.오성.염창주택재건축정비사업조합,2014-06-11 0:00,24813,126.8662612,37.55526112,N,기업그룹,쌍용건설
2260,A10027601,중계센트럴파크아파트,노원구,상계동,아파트,기타,5,457,진흥기업(주),SH공사,2016-03-17 0:00,62075,127.0595853,37.64319742,N,,
2261,A10027622,노원프레미어스엠코,노원구,공릉동,주상복합,분양,2,234,현대엔지니어링,KB신탁사,2016-01-16 0:00,53489,127.0761971,37.61853202,N,기업그룹,현대엔지니어링
2262,A10027602,신금호파크자이아파트,성동구,금호동2가,아파트,기타,10,1156,GS건설,금호제13구역 주택재개발정비사업조합,2016-04-20 0:00,153669,127.0179963,37.5544914,N,기업그룹,GS건설
2263,A10027817,DMC파크뷰자이아파트,서대문구,남가좌동,아파트,기타,61,4300,"현대산업개발, SK건설, GS건설",가재울4구역 재건축조합,2015-10-26 0:00,712875,126.9226559,37.5738971,Y,기업그룹,GS건설; SK에코플랜트; 아이파크현대산업개발(HDC)
2264,A10027558,강남효성해링턴코트,강남구,세곡동,연립주택,분양,11,199,555071,(주)대륜테라스빌피에프브이,2016-04-28 0:00,43222,127.0965428,37.47320939,N,,
2265,A15720001,강서한강자이,강서구,가양동,아파트,기타,10,790,gs건설,화이트코리아(주식회사),2013-09-25 0:00,142787,126.8481254,37.56647139,N,기업그룹,GS건설
2266,A10027816,북한산 푸르지오,은평구,녹번동,아파트,기타,22,1230,대우건설,서울시은평구녹번1구역3지구 조합,2015-07-22 0:00,194596,126.9337516,37.60557539,N,기업그룹,대우건설
2267,A10027474,역삼자이아파트,강남구,역삼동,아파트,기타,3,408,GS건설,개나리6차아파트주택재건축정비사업조합,2016-06-22 0:00,74560,127.0401285,37.50588173,N,기업그룹,GS건설
2268,A10027714,래미안 웰스트림,마포구,현석동,아파트,기타,8,773,삼성물산,현석제2구역주택재개발정비사업조합,2016-01-28 0:00,125430,126.9121748,37.54590075,N,기업그룹,삼성물산
2269,A10027446,강남더샵포레스트,강남구,수서동,아파트,분양,10,400,포스코건설,한국자산신탁,2016-07-27 0:00,102232,127.0952058,37.48102807,N,기업그룹,포스코이앤씨
2270,B20160929,청담4차e편한세상,강남구,청담동,,분양,2,94,대림산업,,2010-10-20 0:00,17411,,,N,기업그룹,DL이앤씨
2271,A10027432,서울 왕십리 KCC스위첸아파트,성동구,하왕십리동,아파트,분양,3,272,KCC건설,(주)광희리츠,2016-04-28 0:00,38151,127.0266516,37.56088363,N,,
2272,A10027375,목동힐스테이트,양천구,신정동,아파트,기타,15,1081,현대건설,신정제4구역주택재개발정비사업조합,2016-05-19 0:00,170226,126.856168,37.520319,N,기업그룹,현대건설
2273,A10027775,신내의료안심주택,중랑구,신내동,아파트,임대,2,222,SD종합건설,SH공사,2015-10-29 0:00,13100,127.0971822,37.61417494,N,,
2274,B20161019,돈암대성유니드,성북구,돈암동,,분양,2,81,대성산업,,2009-07-29 0:00,14148,127,38,N,,
2275,A10027461,힐스테이트 송파위례아파트,송파구,장지동,주상복합,분양,8,490,현대건설(주),현대건설(주),2016-07-19 0:00,111137,127.1421546,37.47864452,N,기업그룹,현대건설
2276,A10027632,송파 와이즈더샵,송파구,장지동,아파트,분양,6,390,(주)포스코건설,에이엠플러스자산개발(주),2016-02-26 0:00,75116,127.1434467,37.47637903,N,기업그룹,포스코이앤씨
2277,A15721009,마곡엠밸리2단지,강서구,마곡동,아파트,기타,6,408,(주)한양,sh공사,2014-06-19 0:00,71160,126.8207109,37.56911737,N,,
2278,A10027948,강동역신동아파밀리에,강동구,천호동,주상복합,분양,2,230,신동아 건설(주),(주)포유,2015-07-30 0:00,46552,127.1335881,37.53675867,N,,
2279,B20161027,삼성파크아파트,강남구,삼성동,,분양,1,114,세방기업,,2001-12-17 0:00,24193,127,38,N,,
2280,A10027403,마곡엠밸리12단지,강서구,마곡동,아파트,기타,6,363,(주)대보건설,서울주택도시공사,2016-09-12 0:00,56818,126.822877,37.559259,N,,
2281,B20161103,세방하이빌,강남구,역삼동,,분양,2,67,세방건설,,2002-12-30 0:00,6947,127,37,N,,
2282,A10027439,래미안 신반포팰리스,서초구,잠원동,아파트,기타,7,843,삼성물산,잠원대림아파트주택재건축정비사업조합,2016-06-22 0:00,153551,127.0136324,37.51518668,N,"k-전체세대수, 기업그룹",삼성물산
2283,A10027687,마곡힐스테이트,강서구,마곡동,아파트,기타,8,603,현대건설,긴등마을주택재건축정비사업조합,2017-08-03 0:00,99266,126.818111,37.564067,N,기업그룹,현대건설
2284,A10027354,올림픽파크한양수자인,강동구,성내동,아파트,기타,5,482,(주)한양,미주아파트 재건축조합,2016-08-18 0:00,73110,127.128374,37.526798,N,,
2285,A10027346,파크하비오푸르지오아파트,송파구,문정동,주상복합,분양,10,999,대우건설주식회사,다함하비오주식회사,2016-09-29 0:00,169516,127.1236486,37.4806145,N,기업그룹,대우건설
2286,A10027553,위례2차아이파크아파트,송파구,장지동,아파트,분양,7,495,현대산업개발,네오밸류,2016-05-26 0:00,116553,127.1421912,37.48174147,N,기업그룹,아이파크현대산업개발(HDC)
2287,A10027614,상도 휴엔하임 도시형생횔주택,동작구,상도동,아파트,분양,1,298,신구건설(주),상도개발(주),2016-02-24 0:00,11143,126.9379669,37.50496812,N,,
2288,A10027909,강남한신휴플러스 8단지,강남구,율현동,아파트,기타,11,169,한신공영,에스에치공사,2015-09-23 0:00,29219,127.1092085,37.47264475,N,,
2289,A10028201,인현신성,중구,인현동2가,주상복합,분양,1,182,오래되서 모름,오래되서 모름,1968-05-30 0:00,10809,126.9958147,37.56355333,N,,
2290,A10027319,도곡한라비발디아파트,강남구,도곡동,아파트,분양,1,110,(주)한라,동신아파트주택재건축정비사업조합,2016-04-22 0:00,21131,127.0390631,37.48799224,N,,
2291,A10027902,마포한강푸르지오,마포구,합정동,주상복합,분양,2,198,대우건설,주)코리아신탁,2015-03-31 0:00,49099,126.9119634,37.55000852,N,기업그룹,대우건설
2292,A10027681,홍제금호어울림아파트,서대문구,홍제동,주상복합,기타,10,296,금호건설,무궁화재건축정비조합,2016-02-03 0:00,46678,126.9403932,37.58267368,N,,
2293,A10027381,보라매 신동아파밀리에아파트,영등포구,대림동,아파트,기타,4,247,신동아건설(주),대림1주택 재건축정비사업조합,2016-07-29 0:00,41872,126.905101,37.493128,N,,
2294,A10027371,마곡엠밸리11단지,강서구,마곡동,아파트,기타,6,347,(주)대보건설,서울주택도시공사,2016-09-12 0:00,48378,126.8207295,37.55946773,N,,
2295,A10028146,서초롯데캐슬프레지던트,서초구,서초동,아파트,기타,3,280,롯데건설,삼익건설아파트재건축조합,2014-11-14 0:00,55021,127.0196605,37.49741145,N,기업그룹,롯데건설
2296,B20161229,신월신도브래뉴2차,양천구,신월동,,분양,2,126,신도건설,,2004-09-17 0:00,17232,127,38,N,,
2297,A13716001,서초포레스타7단지,서초구,신원동,아파트,기타,10,310,한신공영,SH공사,2013-09-30 0:00,41431,127.0564943,37.44810012,N,,
2298,A10027221,래미안 서초에스티지,서초구,서초동,아파트,기타,4,421,삼성물산,우성3차아파트주택재건축조합,2016-12-23 0:00,75766,127.0251728,37.49278971,N,기업그룹,삼성물산
2299,A10027901,용산 KCC 웰츠타워,용산구,문배동,주상복합,분양,2,232,(주) KCC 건설,(주)무궁화신탁,2015-03-27 0:00,41586,126.96895,37.53777777,N,,
2300,A10078102,파라다이스,중구,신당동,아파트,분양,1,132,파라다이스건설,파라다이스건설,2000-07-10 0:00,16117,127.0172705,37.5623442,N,,
2301,A14276311,번동주공3단지,강북구,번동,주상복합,임대,9,1560,"LH공사(현대건설,화성산업,동원건설등)",LH공사,1990-11-09 0:00,82112,127.0411219,37.62797742,Y,기업그룹,현대건설
2302,A14286203,번동주공5단지,강북구,번동,아파트,임대,8,1123,주택공사,주택공사,1991-05-13 0:00,55973,127.0338928,37.63314575,N,,
2303,A13204003,창동한승미메이드,도봉구,창동,아파트,분양,1,135,한승,한승,2004-06-25 0:00,14998,127.0429444,37.63299024,N,,
2304,A13175103,면목한신,중랑구,면목동,아파트,분양,10,1362,한신공영,한신공영,1987-12-30 0:00,93503,127.0743178,37.58705252,N,,
2305,A13923001,중계한신코아,노원구,하계동,연립주택,분양,12,160,한신공영(주),한신공영(주),1994-03-19 0:00,28697,127.0696883,37.64039875,N,,
2306,A13972602,중계중앙하이츠아쿠아,노원구,중계동,아파트,분양,4,219,중앙건설,봄내건설,2008-06-20 0:00,35655,127.0675167,37.64513583,N,,
2307,A13778207,서초네이처힐6단지,서초구,우면동,아파트,기타,7,382,(주)태영건설,SH공사,2013-02-15 0:00,50309,127.0270676,37.4611401,N,,
2308,A13470102,강동QV2차,강동구,길동,주상복합,분양,1,236,대우건설주식회사,주식회사무궁화신탁,2013-04-30 0:00,9252,127.1360803,37.53660857,N,기업그룹,대우건설
2309,A13402001,천호두산위브센티움,강동구,천호동,주상복합,분양,1,156,두산건설,희성,2004-09-06 0:00,9700,127.1269879,37.53941807,N,,
2310,A10028056,북한산힐스테이트7차제2 (임대),은평구,불광동,아파트,임대,1,188,현대건설(주),현대건설(주),2011-07-29 0:00,18452,126.9269016,37.61558755,N,기업그룹,현대건설
2311,A13378103,서울숲2차푸르지오임대,성동구,금호동4가,아파트,임대,1,121,대우건설,SH공사,2012-08-16 0:00,9911,127.0239079,37.54748903,N,기업그룹,대우건설
2312,A12172201,신촌포스빌,마포구,노고산동,주상복합,분양,1,350,(주)포스코건설,주식회사한국토지신탁,2004-07-31 0:00,20589,126.9421274,37.55625873,N,기업그룹,포스코이앤씨
2313,A13275301,도봉양우내안애아파트,도봉구,도봉동,아파트,분양,3,147,양우건설(주),도봉양우지역주택조합,2005-06-29 0:00,21136,127.0491249,37.6832501,N,,
2314,A13275001,창동수산트리플아파트,도봉구,창동,아파트,분양,1,111,수산건설,수산건설,2004-06-30 0:00,10617,127.0339733,37.64039885,N,,
2315,A13201002,서울도봉,도봉구,도봉동,아파트,임대,3,245,충우종합대양건설,한국토지주택공사,2002-11-18 0:00,16861,127.0506166,37.6826208,N,,
2316,A14206310,번동주공2단지,강북구,번동,아파트,임대,11,1766,"대림산업, 삼익건설",한국토지주택공사,1991-05-18 0:00,89503,127.0446931,37.62569698,Y,기업그룹,DL이앤씨
2317,A13275303,도봉파크빌2단지,도봉구,도봉동,아파트,분양,2,139,유진건설,SH 공사,2002-12-02 0:00,20135,127.0505173,37.6846182,N,,
2318,A10028063,신도림아이파크아파트,구로구,신도림동,아파트,임대,3,189,(주)아이앤콘스,일양테라,2015-02-06 0:00,23583,126.8880673,37.51128282,N,,
2319,A15776004,현대3,강서구,염창동,아파트,분양,1,127,현대산업개발,현대산업개발,1996-10-05 0:00,15817,126.876072,37.55200099,N,기업그룹,아이파크현대산업개발(HDC)
2320,A15721011,마곡엠밸리3단지,강서구,마곡동,아파트,기타,4,315,(주)한양,에스에이치공사,2014-06-19 0:00,58712,126.8195417,37.56850628,N,,
2321,A15279401,고척청솔우성,구로구,고척동,주상복합,분양,2,118,우성건설,우성,2000-12-26 0:00,19968,126.860032,37.50623584,N,,
2322,A15209007,개봉 푸르지오,구로구,개봉동,아파트,기타,10,978,대우건설,개봉1주택재건축조합,2014-05-20 0:00,147217,126.8485591,37.49921426,N,기업그룹,대우건설
2323,A10027495,이수자이 주상복합,동작구,사당동,주상복합,분양,2,140,GS건설,(주)모벡에셋,2010-12-15 0:00,52544,126.9805813,37.4843925,N,기업그룹,GS건설
2324,A10027764,천왕이펜하우스7단지,구로구,천왕동,아파트,임대,5,374,우신건설(주),에스에이치공사,2017-02-07 0:00,26850,126.8368531,37.48210556,N,,
2325,A15213005,천왕이펜하우스3단지,구로구,천왕동,아파트,기타,13,1044,풍림건설,SH공사,2011-10-12 0:00,147417,126.8389163,37.48225161,N,,
2326,A15209006,개봉고운아파트,구로구,개봉동,아파트,분양,1,100,고운건설,고운건설,2002-10-11 0:00,13174,126.8505156,37.49898833,N,,
2327,A15213001,천왕이펜하우스5단지,구로구,천왕동,아파트,기타,8,522,한진중공업,SH공사,2011-07-19 0:00,78915,126.842261,37.47958226,N,,
2328,A15213004,천왕이펜하우스4단지,구로구,천왕동,아파트,기타,11,478,금호건설,SH공사,2011-08-03 0:00,65016,126.8390601,37.47990329,N,,
2329,A15603009,상도더샵2차,동작구,상도동,아파트,분양,4,138,포스코건설,상도동165번지 지역주택조합,2014-04-07 0:00,23430,126.9434908,37.50285108,N,기업그룹,포스코이앤씨
2330,A10027935,대림쌍용플래티넘S,영등포구,대림동,도시형 생활주택(주상복합),분양,1,291,쌍용건설(주),두암산업(주),2013-06-28 0:00,12050,126.8980356,37.49528802,N,기업그룹,쌍용건설
2331,A10027424,상도파크자이 아파트,동작구,상도동,아파트,기타,7,471,GS건설,상도제10구역 주택재개발 정비사업조합,2016-08-26 0:00,68940,126.9368147,37.5054571,N,기업그룹,GS건설
2332,A10028094,압구정하이츠파크,강남구,신사동,아파트,분양,2,86,중앙건설,중앙건설,2004-04-20 0:00,31355,127.0336209,37.52405062,N,,
2333,A13509014,래미안삼성1차103단지,강남구,삼성동,아파트,분양,3,133,삼성물산,삼성물산,2006-04-27 0:00,26889,127.0638937,37.5168001,N,기업그룹,삼성물산
2334,A13570502,래미안삼성1차104단지,강남구,삼성동,아파트,분양,1,77,삼성물산,삼성물산,2005-12-29 0:00,13439,127.0640682,37.51693422,N,기업그룹,삼성물산
2335,A10028083,송파SK아파트,송파구,송파동,아파트,분양,1,71,SK건설,은행연합주택조합,2001-11-20 0:00,9777,127.1181933,37.50061053,N,기업그룹,SK에코플랜트
2336,A13895502,가락3차쌍용스윗닷홈(1~4동),송파구,가락동,아파트,분양,4,206,쌍용건설,쌍용건설,2005-02-28 0:00,28338,127.1227554,37.4981161,N,기업그룹,쌍용건설
2337,A10028172,강남자곡아이파크,강남구,자곡동,아파트,기타,10,716,계룡건설산업(주),한국토지주택공사,2014-10-02 0:00,102988,127.1017044,37.47409475,N,기업그룹,계룡건설산업
2338,A13550404,도곡동 포스코트 아파트,강남구,도곡동,아파트,분양,1,64,포스코건설,포스코건설,2002-01-31 0:00,23542,127.0478029,37.48796893,N,기업그룹,포스코이앤씨
2339,A13501007,논현쌍용,강남구,논현동,아파트,분양,1,111,남광토건,학동연립재건축조합,1996-07-24 0:00,14388,127.038168,37.51964192,N,,
2340,A10027571,개포4차현대아파트,강남구,일원동,아파트,분양,1,142,현대,현대,1987-02-03 0:00,14780,127.0773349,37.49093686,N,기업그룹,현대건설
2341,A13872504,장미3차,송파구,신천동,아파트,분양,2,120,라이프 주택개발,라이프 주택개발,1984-08-17 0:00,19331,127.1031777,37.51821271,N,,
2342,A13606006,길음현대,성북구,길음동,아파트,분양,1,132,현대건설,현대종합건설(주),2000-12-28 0:00,11519,127.0196634,37.60792519,N,기업그룹,현대건설
2343,A13611012,길음뉴타운7단지제2,성북구,길음동,아파트,임대,1,99,두산건설,두산건설,2010-07-28 0:00,8287,127.0192671,37.6092194,N,,
2344,A13470104,청광플러스원큐브3차,강동구,길동,주상복합,분양,1,207,청광종합건설(주),청광종합건설(주),2014-10-06 0:00,7294,127.1364556,37.53635264,N,,
2345,A10027638,강일리버파크11단지,강동구,강일동,아파트,임대,4,346,(주)대흥토건,(주)대흥토건,2015-12-29 0:00,25211,127.1794484,37.56221999,N,,
2346,A13778212,LH서초3단지,서초구,우면동,아파트,임대,5,790,동아건설,lh,2013-11-19 0:00,68033,127.0221742,37.45756587,N,,
2347,A10027274,동대문푸르지오시티,동대문구,용두동,도시형 생활주택(주상복합),분양,1,299,대우건설(주),주)기민물산,2016-09-09 0:00,44969,127.0330311,37.57778606,N,기업그룹,대우건설
2348,A10095501,동대문와이즈캐슬,중구,흥인동,아파트,분양,1,297,롯데건설(주),애경개발(주),2014-10-23 0:00,10988,127.0154382,37.56576221,N,기업그룹,롯데건설
2349,A14375302,워커힐푸르지오,광진구,광장동,아파트,분양,2,200,대우건설,일신아파트리모델링조합,1987-03-02 0:00,26756,127.1092751,37.54987201,N,기업그룹,대우건설
2350,A14375303,현대홈타운12차,광진구,광장동,아파트,분양,2,119,현대건설(주),국제약품,2004-09-01 0:00,32488,127.1028077,37.54507847,N,기업그룹,현대건설
2351,A13778208,서초네이처힐1단지,서초구,우면동,아파트,기타,10,179,태영건설,SH공사,2012-11-28 0:00,31671,127.0194605,37.46407665,N,,
2352,A13778209,호반써밋서초파크,서초구,우면동,아파트,분양,4,424,울트라건설(주) 외,한국토지주택공사,2013-12-04 0:00,56985,127.0232559,37.45789348,Y,,
2353,A10027708,인왕산2차아이파크아파트,종로구,무악동,아파트,분양,5,167,현대산업개발,무악연립제2주택재건축정비사업,2015-08-28 0:00,28078,126.9594942,37.57600084,N,기업그룹,아이파크현대산업개발(HDC)
2354,A10027364,덕수궁롯데캐슬아파트,중구,순화동,주상복합,분양,2,296,롯데건설,순화 제1-1구역 도시환경정비사업조합,2016-08-31 0:00,76502,126.9703537,37.56358693,N,기업그룹,롯데건설
2355,A10027396,신정숲속마을아파트,양천구,신정동,아파트,기타,7,560,(주)한일건설,sh공사,2016-08-10 0:00,64358,126.8314719,37.5062442,N,,
2356,A10027433,마곡엠밸리8단지,강서구,마곡동,아파트,기타,10,531,한진중공업,SH공사,2016-07-22 0:00,81343,126.819535,37.563757,N,,
2357,A10027472,상도효성해링턴플레이스,동작구,상도동,아파트,기타,2,202,(주)효성,상도동지역주택조합,2016-02-03 0:00,33592,126.9421487,37.50579199,N,기업그룹,효성중공업
2358,A10027452,마곡엠밸리10단지 아파트,강서구,마곡동,아파트,기타,8,550,남양건설,SH공사,2016-08-09 0:00,83643,126.8186038,37.55921626,N,,
2359,A10027289,센트라스,성동구,하왕십리동,아파트,기타,30,2529,"포스코,SK,현대",왕십리뉴타운3구역주택재개발정비사업조합,2016-11-29 0:00,459952,127.0284459,37.56633795,Y,"k-전체세대수, 기업그룹",현대건설; 포스코이앤씨; SK에코플랜트
2360,A10027301,마포한강2차푸르지오,마포구,합정동,주상복합,분양,2,198,(주)대우건설,주식회사 파나씨티,2016-07-14 0:00,40498,126.912344,37.5510349,N,기업그룹,대우건설
2361,A10027188,금천롯데캐슬골드파크1차아파트,금천구,독산동,아파트,기타,11,1743,롯데건설(주),(주)제이피홀딩스,2016-11-30 0:00,270973,126.894427,37.45975435,N,기업그룹,롯데건설
2362,A10027205,아크로리버파크,서초구,반포동,아파트,기타,15,1612,(주)대림산업,신반포1차재건축주택조합,2016-08-30 0:00,346883,126.9932508,37.50489994,N,기업그룹,DL이앤씨
2363,A10027195,위례중앙푸르지오아파트,송파구,장지동,아파트,분양,2,163,대우건설,(주)한국자산신탁,2016-12-23 0:00,40463,127.1415573,37.47480927,N,기업그룹,대우건설
2364,A10027189,보문파크뷰자이아파트,성북구,보문동6가,아파트,기타,17,1186,GS건설,보문제3구역 주택재개발정비사업조합,2017-01-18 0:00,166765,127.0185045,37.57804,N,기업그룹,GS건설
2365,A10027157,서울가좌행복주택,마포구,성산동,아파트,임대,1,362,진흥개발(주),한국토지주택공사,2016-12-21 0:00,24762,126.9132522,37.56915017,N,,
2366,A10027089,현대썬앤빌청계,동대문구,답십리동,주상복합,분양,1,269,현대bs&c,에스제이에셋플러스(주),2016-12-22 0:00,8140,127.0551495,37.56611423,N,,
