?번호,k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),"k-단지분류(아파트,주상복합등등)",k-세대타입(분양형태),k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,좌표X,좌표Y,컨소시엄여부,수정필드,기업그룹
1,A15679103,우리유앤미,동작구,흑석동,아파트,분양,2,206,우리건설,경수재건축조합,2003-12-26 0:00,27097,126.9596386,37.5006676,N,,
2,A13876112,송파파인타운13단지,송파구,장지동,아파트,분양,4,197,양우건설(주),SH공사,2011-01-27 0:00,30646,127.1291789,37.4768967,N,,
3,A13873701,오금현대백조(임대),송파구,오금동,아파트,임대,1,153,현대건설,현대건설,1997-01-24 0:00,7318,127.1287745,37.5089058,N,기업그룹,현대건설
4,A15275101,개봉건영,구로구,개봉동,아파트,분양,2,209,건영종합건설,철도조합,1994-05-09 0:00,24523,126.8406749,37.5011622,N,,
5,A13991016,월계동원베네스트,노원구,월계동,아파트,분양,5,205,(주)동원건설,월계동원베네스트아파트조합,2005-03-31 0:00,24680,127.0582196,37.631732,N,,
6,A13789201,양재우성KBS(113동),서초구,양재동,아파트,분양,1,150,우성건설,우성건설,1996-12-31 0:00,16533,127.0290739,37.4775008,N,,
7,A13486701,천호삼익,강동구,천호동,아파트,분양,1,150,삼익건설(주),삼익건설(주),1997-12-03 0:00,15925,127.1284727,37.5485886,N,,
8,A14319001,자양경남아너스빌,광진구,자양동,아파트,분양,1,150,대아건설,진주타운재건축조합,1997-05-24 0:00,18340,127.083991,37.5294321,N,,
9,A12208101,신사성원아파트,은평구,신사동,아파트,분양,1,150,성원건설,성원건설,2000-04-11 0:00,20062,126.9133122,37.6004574,N,,
10,A15809001,신월대방샤인힐,양천구,신월동,아파트,분양,3,150,대방건설,원광연립재건축조합,2003-09-24 0:00,17033,126.8384999,37.5204711,N,,
11,A13820001,문정3차푸르지오,송파구,문정동,아파트,분양,2,150,(주)대우건설,(주)대우,2002-08-13 0:00,16059,127.1332779,37.4871243,N,기업그룹,대우건설
12,A13790701,잠원한신그린,서초구,잠원동,아파트,분양,1,150,한신공영(주),한신공영(주),1993-01-21 0:00,17968,127.0078749,37.5133709,N,,
13,A13402202,천호e-편한세상,강동구,천호동,아파트,분양,2,150,대림산업,"한미,세경연립사업조합.(주)삼호",2005-10-28 0:00,23895,127.1243522,37.5443727,N,기업그룹,DL이앤씨
14,A11007001,경희궁의아침3단지,종로구,내수동,주상복합,분양,1,150,쌍용건설,군인공제조합,2004-05-17 0:00,38392,126.9720155,37.5736451,N,기업그룹,쌍용건설
15,A13403001,성내2차e-편한세상,강동구,성내동,아파트,분양,2,151,(주)삼호,대농연립재건축조합,2004-11-24 0:00,22219,127.1264298,37.53436,N,기업그룹,DL건설
16,A15609001,사당유니드,동작구,사당동,아파트,분양,5,151,대성산업(주),사당제7주택 재개발조합,2009-02-03 0:00,23348,126.9752458,37.493362,N,,
17,A13186801,신내다우훼밀리,중랑구,신내동,아파트,분양,1,152,다우종합건설,다우훼밀리아파트,1999-01-29 0:00,15008,127.0971514,37.6060585,N,,
18,A13407201,명일삼익그린11차,강동구,명일동,아파트,분양,1,152,삼익주택,삼익주택,1986-06-30 0:00,18346,127.1504982,37.5518066,N,,
19,A13980801,공릉대동1차,노원구,공릉동,아파트,분양,1,152,(주)대동,(주)대동,1999-04-30 0:00,19659,127.072532,37.6198604,N,,
20,A15210101,오류동선,구로구,오류동,아파트,분양,1,152,동선건설,동선건설,2004-04-21 0:00,16366,126.8394712,37.4936836,N,,
21,A15001001,여의도초원,영등포구,여의도동,아파트,분양,1,153,순복음,순복음,1971-08-27 0:00,13657,126.9231927,37.5309637,N,,
22,A15881701,목동금강에스쁘아,양천구,목동,아파트,분양,1,153,(주)금강종합건설,신목연합재건축주택조합,2002-08-13 0:00,19081,126.8714021,37.5380526,N,,
23,A13285601,방학신동아5단지,도봉구,방학동,아파트,분양,1,153,신동아건설(주),신동아건설(주),1998-10-02 0:00,22480,127.0285219,37.6636195,N,,
24,A13980102,공릉신원,노원구,공릉동,아파트,분양,1,153,신원종합개발,신원종합개발,2000-02-14 0:00,18796,127.0751067,37.6277644,N,,
25,A15886501,신정학마을3단지,양천구,신정동,아파트,분양,3,153,태영건설,도시개발공사,2002-08-23 0:00,24603,126.8472095,37.5115753,N,,
26,A13186502,신내우남푸르미아,중랑구,신내동,아파트,분양,3,153,(주)우남건설,(주)우남건설,2005-04-04 0:00,22916,127.0987566,37.6061739,N,,
27,A13780201,엠브이아파트,서초구,반포동,아파트,분양,1,154,한보철강,해주정씨종친회,1994-07-28 0:00,21910,127.0102751,37.4992014,N,,
28,A13203001,쌍문동북한산월드메르디앙,도봉구,쌍문동,아파트,분양,4,154,월드건설,월드건설,2005-06-02 0:00,19477,127.0139503,37.653846,N,,
29,A15383601,독산진도2차,금천구,독산동,아파트,분양,1,154,진도건설,진도,1997-10-17 0:00,17642,126.8922168,37.4700234,N,,
30,A15381402,독산계룡,금천구,독산동,아파트,분양,2,154,계룡건설,계룡건설,1998-09-24 0:00,19933,126.8927936,37.4671531,N,기업그룹,계룡건설산업
31,A15805101,목동대원칸타빌,양천구,목동,아파트,분양,1,154,(주)대원,(주)대원,2001-09-10 0:00,26204,126.8650937,37.5285923,N,,
32,A15288801,신도림우성5차,구로구,신도림동,아파트,분양,1,154,우성건설(주),우성건설(주),1994-12-15 0:00,16328,126.8837922,37.5127235,N,,
33,A15722201,마곡서광2차아파트,강서구,방화동,아파트,분양,2,154,서광건설(주),서광건설(주),2003-06-02 0:00,27065,126.8106819,37.5720228,N,,
34,A13786901,서초1차e편한세상,서초구,서초동,아파트,분양,2,154,대림,대림,2004-08-24 0:00,37212,127.0067349,37.4812021,N,기업그룹,DL이앤씨
35,A15881702,목동성원,양천구,목동,아파트,분양,2,155,성원산업개발(주),수정.삼성 연립 재건축 주택 조합,2000-06-29 0:00,22553,126.8699072,37.5358469,N,,
36,A12204001,북한산수자인,은평구,불광동,아파트,분양,2,155,한양,정원연립재건축조합,2006-09-01 0:00,17909,126.9321696,37.6216983,N,,
37,A13295201,브라운스톤쌍문,도봉구,쌍문동,아파트,분양,2,155,이수건설,국화연립재건축조합,2006-12-26 0:00,23262,127.0295935,37.6471154,N,,
38,A13527001,도곡동양재디오빌,강남구,도곡동,주상복합,분양,1,155,대우건설,대우건설,2004-04-23 0:00,9783,127.0335386,37.4864782,N,기업그룹,대우건설
39,A15884901,유원목동,양천구,신정동,아파트,분양,2,156,유원건설(주),한전연합주택조합,1990-12-29 0:00,16977,126.8736268,37.5217974,N,,
40,A13486401,천호현대,강동구,천호동,아파트,분양,2,156,현대건설,아남산업주택조합,1990-05-31 0:00,13497,127.1329005,37.5383992,N,기업그룹,현대건설
41,A13187501,중화극동,중랑구,중화동,아파트,분양,1,156,극동건설,극동건설,1991-04-29 0:00,17030,127.0837949,37.6036519,N,,
42,A15185201,신림현대성우,관악구,신림동,아파트,분양,1,156,성우종합건설(주),삼성연립재건축조합,1998-10-26 0:00,21207,126.9372705,37.4837087,N,,
43,A11084601,평창롯데,종로구,평창동,아파트,분양,3,156,롯데건설,북악맨션재건축조합,2001-04-30 0:00,31071,126.9756922,37.6091332,N,기업그룹,롯데건설
44,A13820002,문정세양청마루,송파구,문정동,아파트,분양,2,157,세양건설,세양지역주택조합,2004-05-01 0:00,14743,127.1370266,37.4924314,N,,
45,A15101501,보라매파크뷰,관악구,신림동,아파트,분양,1,157,갑을건설,동심아파트재건축조합,2003-12-31 0:00,19382,126.9219256,37.4891251,N,,
46,A13312101,성수두산위브,성동구,성수동2가,아파트,분양,3,157,두산건설,두산건설,2006-05-30 0:00,27671,127.0584774,37.5372327,N,,
47,A15283801,신도림쌍용플래티넘노블,구로구,구로동,주상복합,분양,2,155,남광토건(주),목원엔지리어링,2006-11-30 0:00,44167,126.8912982,37.5009591,N,,
48,A15007101,대림갑을명가,영등포구,대림동,아파트,분양,2,157,갑을건설(주),화양연립재건축정비사업조합,2005-10-17 0:00,21239,126.9036771,37.4956182,N,,
49,A13980803,공릉1동삼익,노원구,공릉동,아파트,분양,1,158,삼익건설주식회사,평화외3개연립 재건축조합,1997-10-28 0:00,20892,127.0723375,37.6181002,N,,
50,A14319002,자양한강극동,광진구,자양동,아파트,분양,2,158,극동건설주식회사,자양동군인직장연합주택조합,1991-08-08 0:00,17449,127.0644764,37.5336956,N,,
51,A13510001,청담삼성1차,강남구,청담동,아파트,분양,1,158,삼성건설,삼성물산,1997-12-19 0:00,20894,127.0478619,37.5194421,N,기업그룹,삼성물산
52,A13292501,창동현대타운(주복),도봉구,창동,주상복합,분양,1,158,현대건설,현대건설,1999-09-22 0:00,23414,127.0352336,37.6470839,N,기업그룹,현대건설
53,A13311101,성수금호3차,성동구,성수동1가,아파트,분양,3,159,금호산업(주),성수금호3차 재건축조헙,2003-09-25 0:00,23433,127.0504009,37.5420274,N,,
54,A13201001,도봉서광,도봉구,도봉동,아파트,기타,3,159,융창건설(주),서울특별시 도시개발공사,1999-09-07 0:00,13923,127.049861,37.6783964,N,,
55,A13185501,묵동세방,중랑구,묵동,아파트,분양,2,159,세방기업(주),세방건설,2000-07-03 0:00,18710,127.0835522,37.6153547,N,,
56,A14321001,광장11현대홈타운,광진구,광장동,연립주택,분양,8,159,현대건설,광장11차현대지역주택조합,2003-10-28 0:00,27590,127.0969941,37.5430085,N,기업그룹,현대건설
57,A13787102,서초2차e편한세상,서초구,서초동,아파트,분양,3,159,대림산업,서초연합 재건축 주택조합,2005-02-24 0:00,30500,127.0090583,37.4862357,N,기업그룹,DL이앤씨
58,A13087401,휘경서울가든,동대문구,휘경동,주상복합,분양,1,160,삼익건설(주),동대문구,1985-12-03 0:00,17646,127.0711253,37.5841565,N,,
59,A13880201,가락현대6차,송파구,가락동,아파트,분양,2,160,현대건설,한미은행 연합조합,1991-12-14 0:00,17690,127.1226268,37.4972327,N,기업그룹,현대건설
60,A15088802,여의도화랑,영등포구,여의도동,아파트,분양,3,160,삼익주택,삼익주택,1977-12-16 0:00,20628,126.9355476,37.5221449,N,,
61,A15009501,문래진주,영등포구,문래동5가,아파트,분양,3,160,라이프주택,라이프주택,1984-08-21 0:00,20732,126.8847882,37.5171755,N,,
62,A15083701,신길삼두,영등포구,신길동,아파트,분양,1,160,삼두실업(주),삼두실업(주),1987-12-12 0:00,10684,126.9238594,37.5143228,N,,
63,A13583301,논현동부센트레빌,강남구,논현동,아파트,분양,4,160,동부건설,양지아파트재건축조합,2003-12-24 0:00,30443,127.0376735,37.5103594,N,,
64,A12201301,경남아파트-응암경남,은평구,응암동,아파트,분양,2,160,경남기업,경남기업,1995-12-22 0:00,17366,126.9203156,37.5833193,N,,
65,A13788201,서초현대4차,서초구,서초동,아파트,분양,3,160,현대산업개발,서초은하아파트재건축조합,2000-11-27 0:00,31326,127.0178518,37.5003507,N,기업그룹,아이파크현대산업개발(HDC)
66,A13508001,역삼휴먼터치빌,강남구,역삼동,주상복합,분양,1,160,현대산업개발,현대산업개발,1999-06-19 0:00,12415,127.0338294,37.5064114,N,기업그룹,아이파크현대산업개발(HDC)
67,A15785601,방화진로,강서구,방화동,아파트,분양,2,160,주)진로건설,주)진로건설,1994-09-09 0:00,20959,126.8084237,37.5770526,N,,
68,A13790902,잠원킴스빌리지,서초구,잠원동,아파트,분양,1,160,시대종합건설(주),뉴코아,1996-12-17 0:00,12614,127.0067114,37.5109145,N,,
69,A15782501,강서월드메르디앙,강서구,내발산동,아파트,분양,3,160,월드건설,"중앙,대덕,용광,고려연립재건축주택조합",2006-03-30 0:00,26678,126.843127,37.5568955,N,,
70,A15284302,구로대성스카이렉스,구로구,구로동,주상복합,분양,2,160,대성산업(주),공원빌라 재건축조합,2006-04-25 0:00,27171,126.8909539,37.4994441,N,,
71,A12111001,마포경남아너스빌,마포구,신수동,아파트,분양,2,160,경남기업(주),청옥산업개발(주),2007-05-17 0:00,22218,126.934029,37.5487707,N,,
72,A13784401,방배브라운가,서초구,방배동,아파트,분양,2,161,흥화공업(주),흥화공업(주),2006-05-26 0:00,19876,126.9919326,37.4835259,N,,
73,A13181201,면목신성미소지움,중랑구,면목동,아파트,분양,2,161,신성건설,서경한성동남조합신성건설,2004-11-12 0:00,22637,127.0961012,37.587218,N,,
74,A13786803,서초3차e편한세상,서초구,서초동,아파트,분양,2,77,대림산업,(주)디케이건설,2005-12-23 0:00,21246,127.0077138,37.4785869,N,기업그룹,DL이앤씨
75,A13609001,종암우림카이저팰리스,성북구,종암동,주상복합,분양,2,161,우림건설,종암시장 재건축조합,2008-05-01 0:00,24558,127.0334853,37.6018897,N,,
76,A13481001,길동우성1차,강동구,길동,아파트,분양,2,162,우성건설,우성건설,1989-10-06 0:00,16822,127.1445299,37.5432755,N,,
77,A13880602,가락우성2차아파트,송파구,가락동,아파트,분양,2,162,우성건설,가락동조합아파트,2000-06-14 0:00,20701,127.1255185,37.4918819,N,,
78,A15603001,상도동원베네스트,동작구,상도동,아파트,분양,4,162,동원시스템즈(주)/건설,상도동원지역주택조합,2008-10-31 0:00,23332,126.9444312,37.5029264,N,,
79,A15283701,고척경남1차,구로구,고척동,아파트,분양,1,163,경남건설,오희태양재건축조함,1998-01-26 0:00,18138,126.8627712,37.5052906,N,,
80,A13114201,묵동동구햇살,중랑구,묵동,아파트,분양,3,163,동구건설,삼성연립,2004-05-12 0:00,23257,127.0747746,37.613353,N,,
81,A15602001,대방경남아너스빌,동작구,대방동,아파트,분양,2,163,경남기업,대방시범아파트재건축조합,2006-03-27 0:00,25144,126.9256082,37.5116136,N,,
82,A15704001,염창2차한화꿈에그린,강서구,염창동,아파트,분양,3,163,한화건설,효창연립재건축조합,2006-04-27 0:00,22072,126.8668736,37.5515337,N,기업그룹,한화
83,A13508002,역삼경남,강남구,역삼동,주상복합,분양,1,164,경남기업,역삼 주상복합조합,2002-05-01 0:00,30232,127.0423208,37.5005747,N,,
84,A15780701,가양중앙하이츠,강서구,가양동,아파트,분양,3,164,중앙건설(주),중앙산업(주),1999-04-29 0:00,33754,126.8492901,37.5698077,N,,
85,A15086001,보라매두산위브,영등포구,신길동,아파트,분양,2,164,두산건설(주),두산건설,2005-11-10 0:00,27724,126.9144293,37.4972694,N,,
86,A13120701,용마산금호어울림,중랑구,면목동,아파트,분양,3,165,금호건설,재건축조합,2006-06-26 0:00,25764,127.091721,37.5770579,N,,
87,A15086201,양평서통한신,영등포구,양평동1가,아파트,분양,2,165,한신공영(주),한신공영(주),1996-12-31 0:00,22545,126.8878466,37.5216885,N,,
88,A13983801,대망드림힐,노원구,상계동,아파트,분양,1,165,(주)대망종합건설,대영연립재건축조합,2003-06-27 0:00,22457,127.0584516,37.6763152,N,,
89,A15208201,고척양우,구로구,고척동,주상복합,분양,1,165,양우종합건설,"황실,건영 재건축조합",2000-06-27 0:00,21192,126.8566086,37.504745,N,,
90,A12181101,마포더포레스트,마포구,대흥동,아파트,분양,3,165,동양메이저(주),동양,2007-04-06 0:00,23653,126.9406061,37.5479468,N,,
91,A13882401,문정푸르지오2차,송파구,문정동,아파트,분양,2,165,(주)대우,제일은행 직장주택조합외 4개조합,2001-05-23 0:00,24261,127.1270852,37.4867371,N,기업그룹,대우건설
92,A13707002,아남,서초구,서초동,아파트,분양,2,166,아남건설주식회사,아남건설주식회사,1989-11-30 0:00,17317,127.020739,37.4929518,N,,
93,A15009502,문래현대3차,영등포구,문래동5가,아파트,분양,2,166,현대건설(주),현대건설(주),1991-11-18 0:00,18872,126.8844422,37.5161019,N,기업그룹,현대건설
94,A15283803,구로금호어울림,구로구,구로동,주상복합,분양,1,166,금호건설,금호건설,1997-06-02 0:00,31965,126.8919875,37.5000583,N,,
95,A13790703,잠원신화,서초구,잠원동,아파트,분양,1,166,신화건설,잠원연합조합주택,1997-10-01 0:00,19938,127.0136875,37.5157083,N,,
96,A13887901,송파현대힐스테이트,송파구,풍납동,아파트,분양,2,166,현대건설(주),우신.재경연립주택및강동연립주택 재건축정비사업조합,2006-02-24 0:00,26573,127.1184957,37.5311152,N,기업그룹,현대건설
97,A15704002,염창 일신건영휴먼빌아파트,강서구,염창동,아파트,분양,3,166,일신건영(주),동진연립 재건축주택조합,2004-11-19 0:00,24109,126.8731713,37.5520432,N,,
98,A15284101,구로2차순영웰라이빌,구로구,구로동,주상복합,분양,1,166,순영종합건설(주),순영종합건설(주),2005-06-15 0:00,23060,126.891625,37.4960263,N,,
99,A13008001,신이문금호어울림,동대문구,이문동,아파트,기타,4,166,금호산업,신이문재건축조합,2008-10-10 0:00,23553,127.063182,37.6041205,N,,
100,A12289401,뉴신사신성아파트,은평구,신사동,아파트,분양,2,167,신성건설,신성건설,1993-11-29 0:00,20138,126.9062236,37.5935011,N,,
101,A13986701,중계성원2차,노원구,중계동,아파트,분양,1,167,(주)성원,한인연립재건축주택조합,1995-07-06 0:00,20280,127.0752242,37.6611671,N,,
102,A13202302,방학극동아파트,도봉구,방학동,아파트,분양,2,167,극동건설,"감사원,극동건설,선덕학원직장조합",1993-09-17 0:00,20806,127.0268136,37.6645017,N,,
103,A14206301,번동동문아파트,강북구,번동,아파트,분양,3,167,동문건설,동문건설,1998-08-14 0:00,24818,127.0382004,37.6239797,N,,
104,A13509101,삼성청구타운,강남구,삼성동,아파트,분양,3,167,청구,청구,1992-05-15 0:00,20121,127.0583783,37.5197827,N,,
105,A15004101,당산신동아파밀리에,영등포구,당산동1가,아파트,분양,4,167,신동아건설,주택재개발조합,2008-01-18 0:00,20885,126.9003963,37.519805,N,,
106,A13704101,반포삼호가든맨션5차,서초구,반포동,아파트,분양,3,168,삼호,삼호,1986-02-21 0:00,27653,127.0115013,37.5039415,N,기업그룹,DL건설
107,A13384301,한양현대아파트,성동구,성수동1가,아파트,분양,1,168,현대건설(주),한양연립재건축조합,1999-01-13 0:00,21986,127.0479977,37.5455297,N,기업그룹,현대건설
108,A15783701,등촌임광,강서구,등촌동,아파트,분양,3,168,임광토건,임광토건,2000-05-12 0:00,24137,126.8633551,37.5404837,N,,
109,A13790604,잠원동대우아이빌,서초구,잠원동,아파트,분양,3,168,(주)대우,한국구조개발,2001-07-30 0:00,13769,127.0183736,37.5113932,N,기업그룹,대우건설
110,A13184502,면목성원,중랑구,면목동,아파트,분양,2,168,성원건설(주),성원건설(주),1997-06-13 0:00,22780,127.0907522,37.5774892,N,,
111,A15704003,염창월드메르디앙,강서구,염창동,아파트,분양,5,168,월드건설(주),신삼성연립재건축조합,2004-07-01 0:00,23391,126.8727626,37.5528637,N,,
112,A13508003,대우디오빌플러스,강남구,역삼동,아파트,분양,1,168,대우건설,플러스하우징,2004-05-25 0:00,12448,127.0311179,37.4975858,N,기업그룹,대우건설
113,A15809401,신월2차보람쉬움,양천구,신월동,아파트,분양,3,169,보람건설(주),재건축조합,2005-03-19 0:00,20416,126.8369039,37.5243291,N,,
114,A13610201,정릉2차대주피오레,성북구,정릉동,아파트,분양,4,169,대주건설,대한주택보증,2008-05-30 0:00,20963,127.008977,37.6018169,N,,
115,A13309101,신금호두산위브,성동구,금호동1가,아파트,분양,5,169,두산건설,"성호,금호연합 재건축조합",2006-03-31 0:00,27320,127.0223133,37.5559626,N,,
116,A15883101,신월성원,양천구,신월동,아파트,분양,1,170,성원건설,성원건설,1996-12-20 0:00,22424,126.8339527,37.5282122,N,,
117,A15010301,양평우림루미아트,영등포구,양평동3가,아파트,분양,2,170,우림산업개발(주),범우아파트재건축조합,2004-10-12 0:00,23815,126.8880477,37.5265939,N,,
118,A13406002,둔촌동동아,강동구,둔촌동,아파트,분양,2,170,동아건설,"조합, 동아건설",1997-12-31 0:00,20339,127.1458735,37.5331763,N,,
119,A15784201,등촌현대1차(한마음),강서구,등촌동,아파트,분양,1,170,현대건설,한마음주택조합,1995-07-13 0:00,21399,126.8553276,37.5559066,N,기업그룹,현대건설
120,A15722001,마곡삼성,강서구,방화동,아파트,분양,1,170,삼성물산,삼성화재재건축조합,1998-01-09 0:00,19331,126.8221909,37.5721234,N,기업그룹,삼성물산
121,A15009601,문래미원아파트,영등포구,문래동6가,아파트,분양,2,170,미원건설(주),(주)미원,1996-09-09 0:00,22348,126.8864037,37.5198906,N,,
122,A13381601,왕십리중앙하이츠,성동구,마장동,아파트,분양,2,170,중앙건설,중앙건설,1999-05-31 0:00,22238,127.039119,37.5654091,N,,
123,A14005001,청암자이,용산구,청암동,아파트,분양,5,170,부곡레저,GS건설,2005-08-18 0:00,61529,126.9467137,37.5351772,N,,
124,A15807601,목동삼성쉐르빌2차,양천구,신정동,주상복합,분양,1,170,삼성중공업(주),(주)중원,2004-03-19 0:00,50098,126.8704458,37.5216391,N,,
125,A15108001,남현동한일유앤아이,관악구,남현동,아파트,분양,3,170,한일건설,재건축 조합,2005-03-30 0:00,26068,126.9735651,37.471705,N,,
126,A13983101,상계마들,노원구,상계동,아파트,분양,3,170,에스에이치공사,에스에이치공사,1988-11-30 0:00,9801,127.0569566,37.6416927,N,,
127,A12282201,경향파크아파트,은평구,구산동,아파트,분양,2,171,인황건설,인황건설,1989-11-10 0:00,21424,126.9059489,37.6103948,N,,
128,A15601201,신대방신동아,동작구,신대방동,아파트,분양,1,171,신동아,신동아건설(주),1993-01-13 0:00,11953,126.9240174,37.4965836,N,,
129,A13527002,도곡현대그린,강남구,도곡동,아파트,분양,1,171,현대산업개발,공업진흥청주택조합,2006-10-19 0:00,21843,127.0397135,37.4889362,N,기업그룹,아이파크현대산업개발(HDC)
130,A13185502,묵동신안2차,중랑구,묵동,아파트,분양,1,171,신안종합건설(주),신안종합건설(주),2000-02-29 0:00,24229,127.0800228,37.6141168,N,,
131,A15805102,목동현대아이파크,양천구,목동,아파트,분양,4,171,현대산업개발,현대산업개발(주),2003-06-28 0:00,22813,126.8650035,37.528994,N,기업그룹,아이파크현대산업개발(HDC)
132,A15882201,신월수명산SK-VIEW,양천구,신월동,아파트,분양,3,171,sk건설(주),랜드미(주),2009-03-25 0:00,34530,126.8293478,37.5440478,N,기업그룹,SK에코플랜트
133,A12185001,성사1차 풍림아파트,마포구,성산동,아파트,분양,1,172,풍림산업,성사1차 재건축조합,2000-04-01 0:00,23675,126.9124027,37.5685044,N,,
134,A14024001,서빙고금호베스트빌,용산구,서빙고동,아파트,분양,3,172,금호건설,우진조합,2002-10-14 0:00,33018,126.9917568,37.5230753,N,,
135,A15280602,신개봉삼환,구로구,개봉동,아파트,분양,1,173,삼환기업,건축조합,2001-03-30 0:00,22681,126.8579501,37.4966551,N,,
136,A13812001,마천금호어울림2차,송파구,마천동,아파트,분양,3,173,금호건설,금호건설,2006-04-24 0:00,25549,127.1557137,37.4930747,N,,
137,A13183202,용마한신2차아파트,중랑구,면목동,아파트,분양,1,174,한신공영,면목3동 재건축조함,1998-05-29 0:00,21501,127.0944705,37.5810758,N,,
138,A13980604,공릉대아2차,노원구,공릉동,아파트,분양,1,174,대아건설,삼익연립재건축조합,2000-03-29 0:00,23179,127.0714453,37.623339,N,,
139,A13982101,상계성원,노원구,상계동,아파트,분양,1,174,성원건설,성원건설,1999-08-19 0:00,23885,127.0658841,37.6604417,N,,
140,A13486703,천호유원,강동구,천호동,주상복합,분양,1,174,유원건설,천호동연합주택조합,1997-08-26 0:00,20746,127.1278651,37.5487741,N,,
141,A13183303,용마동아아파트,중랑구,면목동,아파트,분양,2,174,공영토건,공영토건,1993-03-18 0:00,19822,127.0944957,37.5786737,N,,
142,A13285401,브라운스톤 방학아파트,도봉구,방학동,아파트,분양,3,174,이수건설,협동 현대 오성 재건축조합,2003-04-30 0:00,24190,127.045175,37.6636237,N,,
143,A15685201,신대방우성2차,동작구,신대방동,아파트,분양,2,174,우성종합건설(주),우성종합건설(주),1995-01-19 0:00,24661,126.9115326,37.4920816,N,,
144,A15605001,노량진삼익,동작구,노량진동,주상복합,분양,1,175,주-삼익,주-삼익,2001-07-11 0:00,34983,126.9451391,37.5109978,N,,
145,A13789002,양재신영체르니,서초구,양재동,아파트,분양,1,175,(주)한라,(주)신영,2002-08-30 0:00,12027,127.0413928,37.4791982,N,,
146,A11001203,평창삼성,종로구,평창동,아파트,분양,2,176,삼성중공업(주),중소기업은행 평창동 주택조합,1998-05-02 0:00,24783,126.9783329,37.6107886,N,,
147,A15010201,양평상록수,영등포구,양평동2가,아파트,기타,1,176,(주)건영,sh공사,1999-11-15 0:00,12827,126.8835422,37.5237845,N,,
148,A14006001,신창세방리버하이빌,용산구,신창동,아파트,분양,3,176,세방건설,세방건설,2005-04-11 0:00,23404,126.9541123,37.5370379,N,,
149,A15720101,가양일신건영휴먼빌,강서구,가양동,아파트,분양,3,177,일신건영,주택조합,2004-12-23 0:00,22443,126.841903,37.5690251,N,,
150,A13790905,신반포한신14차,서초구,잠원동,아파트,분양,1,178,한신공영(주),한신공영,1983-12-27 0:00,20673,127.002301,37.5087932,N,,
151,A15608001,이수교스위첸,동작구,동작동,아파트,분양,5,178,케이씨씨건설,공작파크재건축조합,2006-03-30 0:00,32003,126.9810779,37.4976599,N,,
152,A15786104,삼성하나로,강서구,염창동,아파트,분양,1,178,삼성건설(주),국회 조합,1994-02-22 0:00,18408,126.8722863,37.5515375,N,기업그룹,삼성물산
153,A13183701,아남리치카운티,중랑구,면목동,아파트,분양,5,178,아남건설,주택조합,2004-12-10 0:00,22207,127.0849955,37.5892249,N,,
154,A14319301,자양현대6차,광진구,자양동,아파트,분양,1,178,현대건설(주),현대건설(주),1999-02-03 0:00,23330,127.0716693,37.5328509,N,기업그룹,현대건설
155,A13120704,면목금호어울림,중랑구,면목동,아파트,분양,3,178,면목동 대농빌라조합,금호건설,2005-10-27 0:00,25194,127.0892552,37.5773348,N,,
156,A12208001,은평신사두산위브아파트,은평구,신사동,아파트,분양,6,178,두산,두산,2006-11-30 0:00,26073,126.9057246,37.5999489,N,,
157,A15882103,목동진도2차,양천구,목동,아파트,분양,1,179,(주)진도,조합,1999-03-27 0:00,24398,126.873797,37.5256697,N,,
158,A15010302,양평경남1차,영등포구,양평동3가,아파트,분양,1,179,경남기업 주식회사,경남기업 주식회사,1998-07-18 0:00,21487,126.8885519,37.5272237,N,,
159,A15010303,양평동삼천리아파트,영등포구,양평동3가,아파트,분양,2,179,삼천리,삼천리,2000-06-29 0:00,25884,126.8853638,37.5262329,N,,
160,A12289402,신성수정,은평구,신사동,아파트,분양,1,180,(주)신성건설,조합,1996-12-19 0:00,24596,126.9063355,37.5927487,N,,
161,A13585401,개포우성5차,강남구,도곡동,아파트,분양,4,180,우성건설,우성건설,1986-10-27 0:00,17550,127.0475885,37.4859774,N,,
162,A13780001,신반포15차아파트,서초구,반포동,아파트,분양,8,180,한신공영(주),한신공영(주),1982-06-26 0:00,37995,126.9936943,37.5038318,N,,
163,A15106101,봉천은천1단지,관악구,봉천동,아파트,분양,4,180,자유종합건설(주),SH공사,2001-06-25 0:00,28876,126.9647078,37.4714734,N,,
164,A12187901,중동계룡,마포구,중동,아파트,분양,2,180,계룡건설,계룡건설,2000-09-30 0:00,25672,126.905875,37.5706353,N,기업그룹,계룡건설산업
165,A15721001,마곡금호어울림,강서구,마곡동,아파트,분양,2,180,금호건설,금호산업,2005-11-21 0:00,20398,126.8376117,37.5746242,N,,
166,A13922001,중계청암3단지,노원구,중계동,아파트,분양,5,180,요진건설,SH공사,2003-09-15 0:00,25133,127.0797206,37.6608487,N,,
167,A14207201,래미안수유임대,강북구,수유동,아파트,임대,1,180,삼성물산,수유 제2구역 재개발조합,2001-11-29 0:00,13213,127.0181926,37.6447964,N,기업그룹,삼성물산
168,A12010101,홍은풍림1차,서대문구,홍은동,아파트,분양,1,181,.,.,1988-02-09 0:00,16198,126.9420732,37.5949317,N,,
